"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"249";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"250";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"251";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"252";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"253";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"254";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"255";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"256";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;38
"257";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"258";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"259";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"260";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"261";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"262";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"263";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"264";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"265";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"266";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"267";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"268";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"269";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"270";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"271";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"272";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"273";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"274";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"275";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"276";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"277";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"278";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"279";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"280";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"281";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"282";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"283";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"284";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"285";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"286";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;33;33;33;33
"287";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"288";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"289";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"290";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"291";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"292";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"293";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"294";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"295";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"296";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"297";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"298";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"299";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"301";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"302";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"303";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"304";2;4;6;8;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"305";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"306";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"307";2;4;6;8;11;12;15;17;19;20;20;20;20;20;20;20;20;20;20
"308";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"309";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"310";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"311";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"312";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"313";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"314";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"315";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"316";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"317";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"318";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"319";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"320";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"321";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"322";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"323";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"324";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"325";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"326";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"327";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
